Experience,Education,JobRole,Location,Country,Salary_Monthly_USD,Salary_Annual_USD
6,Bachelor,Data Analyst,Tokyo,Japan,9591,115098
9,Bachelor,Cloud Engineer,Lyon,France,11230,134770
5,Bachelor,ML Engineer,Abu Dhabi,UAE,14757,177095
10,Bachelor,ML Engineer,Paris,France,16735,200830
3,PhD,ML Engineer,Zurich,Switzerland,24630,295567
11,Master,Data Scientist,Kuala Lumpur,Malaysia,11844,142138
2,Master,Data Analyst,Geneva,Switzerland,14524,174297
10,PhD,Data Analyst,Tokyo,Japan,17190,206280
2,PhD,Data Scientist,Rotterdam,Netherlands,12920,155040
7,Master,Data Scientist,Tokyo,Japan,15376,184517
9,PhD,Cybersecurity,London,UK,16659,199911
1,Master,Cybersecurity,Singapore,Singapore,15491,185898
1,Bachelor,Data Scientist,Rotterdam,Netherlands,10526,126323
8,Master,Data Analyst,Berlin,Germany,12242,146907
3,Master,ML Engineer,Dublin,Ireland,15571,186859
5,PhD,ML Engineer,Abu Dhabi,UAE,16235,194820
11,Bachelor,Software Engineer,Manchester,UK,15591,187099
9,Master,Software Engineer,Lyon,France,15665,187982
3,Master,Software Engineer,Luxembourg,Luxembourg,17041,204496
9,PhD,Software Engineer,Toronto,Canada,19939,239274
7,Master,Software Engineer,Toronto,Canada,15154,181854
3,Bachelor,Data Analyst,Dublin,Ireland,10300,123606
11,Master,Data Analyst,Luxembourg,Luxembourg,16254,195052
12,Master,ML Engineer,Singapore,Singapore,25646,307762
11,Master,Cybersecurity,Dublin,Ireland,15988,191865
2,PhD,ML Engineer,Hamburg,Germany,12714,152572
5,PhD,Software Engineer,Singapore,Singapore,17770,213240
4,Bachelor,Cloud Engineer,Boston,USA,17362,208348
2,PhD,Cloud Engineer,Paris,France,13310,159720
11,PhD,Cloud Engineer,Zurich,Switzerland,28303,339643
6,Master,ML Engineer,Singapore,Singapore,19032,228390
0,Bachelor,Data Scientist,Barcelona,Spain,6000,72000
5,PhD,Cybersecurity,Dublin,Ireland,17159,205914
8,PhD,Data Scientist,Tokyo,Japan,14340,172089
3,PhD,Data Analyst,Dublin,Ireland,12069,144828
8,PhD,Data Scientist,Brisbane,Australia,15820,189840
5,PhD,Cloud Engineer,Birmingham,UK,10145,121740
0,Master,Cybersecurity,Pune,India,2420,29040
3,Master,Cybersecurity,Stockholm,Sweden,11658,139903
3,Master,Data Scientist,Madrid,Spain,8281,99376
8,Master,Software Engineer,Dubai,UAE,16065,192788
7,PhD,Cybersecurity,Paris,France,13427,161128
7,Bachelor,Data Analyst,Brisbane,Australia,13255,159060
5,Bachelor,Software Engineer,Perth,Australia,13419,161030
9,Bachelor,Data Analyst,Madrid,Spain,9741,116892
6,Master,Cybersecurity,Singapore,Singapore,17603,211246
0,Master,ML Engineer,Stockholm,Sweden,11440,137280
3,Bachelor,ML Engineer,Rotterdam,Netherlands,12370,148440
4,Master,Software Engineer,Stockholm,Sweden,12359,148310
4,Master,Cybersecurity,Madrid,Spain,8845,106141
11,Bachelor,Cybersecurity,Rotterdam,Netherlands,15960,191524
0,Bachelor,Data Analyst,London,UK,6825,81900
8,PhD,Data Scientist,Tokyo,Japan,17968,215625
9,Master,Software Engineer,Dublin,Ireland,14741,176893
6,Master,ML Engineer,Munich,Germany,14532,174387
1,Master,Cloud Engineer,Singapore,Singapore,15515,186181
10,Bachelor,Data Scientist,Dublin,Ireland,17425,209110
4,PhD,Cybersecurity,Luxembourg,Luxembourg,20252,243028
9,Master,Software Engineer,Barcelona,Spain,14196,170362
0,PhD,Software Engineer,Zurich,Switzerland,19800,237600
10,Master,Software Engineer,Rotterdam,Netherlands,18326,219923
2,Bachelor,Cloud Engineer,New York,USA,18049,216596
1,Bachelor,Cloud Engineer,Tokyo,Japan,10969,131637
4,Bachelor,Software Engineer,Stockholm,Sweden,10199,122388
12,PhD,ML Engineer,Dublin,Ireland,26110,313329
8,Master,Data Analyst,Dublin,Ireland,11899,142793
10,Bachelor,Cybersecurity,Singapore,Singapore,18398,220780
8,Master,ML Engineer,Paris,France,14081,168973
6,Bachelor,Cloud Engineer,Birmingham,UK,11138,133660
5,Master,Data Analyst,Dublin,Ireland,11689,140277
5,PhD,Data Scientist,Hamburg,Germany,12833,154002
10,PhD,Software Engineer,Kuala Lumpur,Malaysia,7973,95676
8,Bachelor,Cloud Engineer,Hamburg,Germany,11565,138784
7,Master,Cloud Engineer,Zurich,Switzerland,23762,285153
3,PhD,Data Analyst,Hyderabad,India,3743,44917
8,Master,Cybersecurity,Osaka,Japan,15224,182696
0,PhD,Software Engineer,Lyon,France,8470,101640
0,Bachelor,Cybersecurity,Hyderabad,India,2200,26400
10,Master,Software Engineer,Lyon,France,16525,198308
9,Master,Software Engineer,Stockholm,Sweden,16813,201765
0,PhD,Data Scientist,Madrid,Spain,6600,79200
6,Bachelor,Data Analyst,Bangalore,India,5247,62964
1,Master,ML Engineer,Lyon,France,9954,119451
7,PhD,Cybersecurity,Toronto,Canada,17369,208431
12,Master,Cybersecurity,Dubai,UAE,21611,259340
10,Bachelor,Data Scientist,Stockholm,Sweden,12317,147810
12,Bachelor,Cloud Engineer,Delhi,India,6179,74156
8,Master,Cybersecurity,Hyderabad,India,9680,116168
3,Bachelor,Cybersecurity,Lyon,France,10112,121347
2,PhD,Software Engineer,Perth,Australia,13030,156362
6,Master,Data Analyst,Austin,USA,13625,163501
3,Master,Cloud Engineer,Toronto,Canada,14263,171167
9,Master,Data Scientist,Kuala Lumpur,Malaysia,10048,120582
11,Master,Software Engineer,Singapore,Singapore,22102,265232
10,Bachelor,Data Scientist,Luxembourg,Luxembourg,19753,237040
11,Bachelor,Software Engineer,Barcelona,Spain,10109,121319
1,PhD,ML Engineer,Paris,France,12533,150399
5,PhD,ML Engineer,Dublin,Ireland,19391,232698
9,PhD,Cloud Engineer,Kuala Lumpur,Malaysia,8589,103078
12,Bachelor,Data Scientist,Barcelona,Spain,11541,138492
9,PhD,Data Scientist,Luxembourg,Luxembourg,21814,261774
0,Master,Data Scientist,Luxembourg,Luxembourg,16940,203280
7,PhD,Data Scientist,Luxembourg,Luxembourg,22241,266893
6,Bachelor,Data Analyst,Stockholm,Sweden,10723,128682
3,Master,ML Engineer,Paris,France,12955,155467
8,Bachelor,Cloud Engineer,Paris,France,12029,144358
3,Bachelor,ML Engineer,Rotterdam,Netherlands,11812,141744
11,PhD,Cybersecurity,Delhi,India,6875,82500
7,Master,Cloud Engineer,Tokyo,Japan,17384,208613
12,Master,ML Engineer,Tokyo,Japan,20182,242187
12,PhD,Cloud Engineer,Dublin,Ireland,20970,251647
0,Bachelor,ML Engineer,Abu Dhabi,UAE,11050,132600
3,Bachelor,Cloud Engineer,Montreal,Canada,12538,150459
4,PhD,ML Engineer,Paris,France,13754,165048
7,Master,Software Engineer,Singapore,Singapore,17300,207607
10,PhD,ML Engineer,Melbourne,Australia,25474,305688
6,Bachelor,Cybersecurity,Luxembourg,Luxembourg,17515,210180
1,Master,Data Analyst,Melbourne,Australia,10567,126812
10,Bachelor,ML Engineer,Madrid,Spain,9225,110710
4,Master,Software Engineer,Abu Dhabi,UAE,13500,162008
12,Master,Software Engineer,Melbourne,Australia,16083,192997
8,Master,Software Engineer,Luxembourg,Luxembourg,18623,223476
5,PhD,Software Engineer,Munich,Germany,14894,178728
4,Bachelor,Cloud Engineer,Melbourne,Australia,15570,186848
6,PhD,Cloud Engineer,Singapore,Singapore,19780,237364
4,PhD,Cloud Engineer,Hamburg,Germany,14516,174192
2,Master,Data Scientist,Geneva,Switzerland,19813,237760
5,PhD,ML Engineer,Montreal,Canada,14578,174942
0,PhD,Cloud Engineer,Osaka,Japan,11250,135000
7,PhD,Software Engineer,Birmingham,UK,10152,121827
9,PhD,Cloud Engineer,Dublin,Ireland,17518,210222
8,PhD,Cloud Engineer,Melbourne,Australia,20886,250636
8,PhD,ML Engineer,Toronto,Canada,18600,223209
9,PhD,Cybersecurity,Geneva,Switzerland,29021,348256
12,Bachelor,Data Analyst,Rotterdam,Netherlands,16597,199164
12,Bachelor,Cybersecurity,Vancouver,Canada,19327,231924
6,PhD,ML Engineer,Lyon,France,12068,144823
3,PhD,ML Engineer,Singapore,Singapore,19499,233997
4,Master,Data Scientist,Mumbai,India,5217,62607
0,Master,Cybersecurity,Delhi,India,2420,29040
11,Bachelor,Data Analyst,Vancouver,Canada,16012,192145
7,PhD,Data Analyst,Lyon,France,11736,140842
5,Bachelor,Cloud Engineer,Barcelona,Spain,9741,116895
5,Bachelor,Cloud Engineer,Lyon,France,10360,124325
3,Bachelor,Software Engineer,Vancouver,Canada,11704,140448
3,Bachelor,Data Scientist,Dublin,Ireland,14196,170355
0,PhD,Software Engineer,Vancouver,Canada,12870,154440
7,PhD,Data Scientist,Singapore,Singapore,18383,220600
8,PhD,ML Engineer,Munich,Germany,21154,253852
6,Master,ML Engineer,Stockholm,Sweden,14374,172491
3,Master,Cybersecurity,Vancouver,Canada,14160,169920
3,Bachelor,Data Scientist,Kuala Lumpur,Malaysia,5372,64467
2,Bachelor,Software Engineer,Madrid,Spain,5794,69532
1,Bachelor,Software Engineer,Luxembourg,Luxembourg,14419,173037
6,Master,Cybersecurity,London,UK,14742,176906
7,PhD,Cybersecurity,Paris,France,16738,200860
10,Bachelor,Cloud Engineer,Hamburg,Germany,12228,146740
4,Master,ML Engineer,Lyon,France,10928,131146
4,PhD,Data Analyst,Rotterdam,Netherlands,12064,144768
11,Master,ML Engineer,San Francisco,USA,28930,347169
6,Bachelor,Software Engineer,Singapore,Singapore,14441,173300
2,PhD,Data Scientist,Tokyo,Japan,13288,159460
3,PhD,Cybersecurity,Stockholm,Sweden,12593,151117
8,Master,Data Scientist,Osaka,Japan,17118,205427
3,PhD,ML Engineer,Montreal,Canada,14613,175363
10,PhD,Data Scientist,Kuala Lumpur,Malaysia,8833,105996
6,Master,Cloud Engineer,Osaka,Japan,14977,179724
10,PhD,Cybersecurity,Luxembourg,Luxembourg,22412,268944
1,Bachelor,Data Analyst,Hyderabad,India,2246,26960
5,PhD,Data Scientist,Hyderabad,India,4680,56166
3,Bachelor,Cloud Engineer,Luxembourg,Luxembourg,17952,215435
12,PhD,ML Engineer,Zurich,Switzerland,30544,366537
4,Master,Data Analyst,Madrid,Spain,7041,84502
3,Bachelor,Cybersecurity,Delhi,India,3558,42702
7,PhD,Data Scientist,Melbourne,Australia,19371,232456
7,Master,Software Engineer,Lyon,France,9895,118741
11,Master,Data Analyst,Paris,France,13920,167046
12,Master,Data Scientist,Rotterdam,Netherlands,18758,225099
5,PhD,ML Engineer,Luxembourg,Luxembourg,22568,270822
12,Bachelor,Data Scientist,Kuala Lumpur,Malaysia,6467,77604
3,PhD,Data Scientist,Rotterdam,Netherlands,13913,166960
12,Master,Cloud Engineer,Lyon,France,15013,180164
7,Bachelor,ML Engineer,London,UK,14275,171311
8,Bachelor,Data Scientist,Manchester,UK,12242,146904
12,PhD,Data Analyst,Zurich,Switzerland,24241,290894
12,Master,Software Engineer,Frankfurt,Germany,16282,195386
9,Master,Data Analyst,Munich,Germany,11393,136719
2,PhD,ML Engineer,Luxembourg,Luxembourg,21672,260064
8,PhD,Cloud Engineer,Geneva,Switzerland,25488,305856
2,Bachelor,Cloud Engineer,Dublin,Ireland,13435,161220
4,Bachelor,Cloud Engineer,Chicago,USA,16660,199920
11,PhD,ML Engineer,Rotterdam,Netherlands,18348,220183
7,PhD,Cybersecurity,Lyon,France,13404,160851
8,Bachelor,Cybersecurity,Amsterdam,Netherlands,15059,180712
6,PhD,Cybersecurity,Paris,France,16344,196135
5,Bachelor,Cloud Engineer,Abu Dhabi,UAE,13255,159065
12,PhD,Cybersecurity,Boston,USA,24820,297849
8,PhD,Data Analyst,Amsterdam,Netherlands,17745,212940
9,Bachelor,ML Engineer,Kuala Lumpur,Malaysia,10594,127131
3,Master,ML Engineer,Edinburgh,UK,10133,121606
7,Master,Data Analyst,Zurich,Switzerland,18945,227341
9,Bachelor,Cloud Engineer,Austin,USA,18869,226434
8,Master,ML Engineer,Madrid,Spain,9180,110162
3,Master,ML Engineer,Mumbai,India,3778,45342
10,Bachelor,Cloud Engineer,Bangalore,India,9790,117490
3,PhD,ML Engineer,Singapore,Singapore,19422,233068
12,Master,Cybersecurity,Chennai,India,11224,134692
9,Bachelor,Cloud Engineer,Luxembourg,Luxembourg,22529,270350
8,Bachelor,Cybersecurity,Kuala Lumpur,Malaysia,6635,79624
0,PhD,Cloud Engineer,Lyon,France,9625,115500
8,Bachelor,Cybersecurity,Seattle,USA,18220,218640
0,Bachelor,Cloud Engineer,Hamburg,Germany,9166,110000
6,Master,Cloud Engineer,Singapore,Singapore,17572,210872
7,Bachelor,Data Analyst,Barcelona,Spain,8846,106157
9,PhD,ML Engineer,Stockholm,Sweden,20770,249249
4,PhD,Software Engineer,Zurich,Switzerland,23608,283296
5,Master,Cybersecurity,Singapore,Singapore,16639,199677
3,Master,Data Scientist,Abu Dhabi,UAE,12053,144645
12,Master,Data Analyst,Kuala Lumpur,Malaysia,6460,77523
8,PhD,Data Scientist,Melbourne,Australia,20678,248140
10,Master,Data Scientist,Luxembourg,Luxembourg,21072,252868
12,PhD,Data Analyst,Amsterdam,Netherlands,21573,258876
7,PhD,Data Scientist,Luxembourg,Luxembourg,24211,290539
1,Master,Cloud Engineer,Luxembourg,Luxembourg,18298,219576
8,Bachelor,Cloud Engineer,Madrid,Spain,11112,133350
6,Bachelor,Software Engineer,Kuala Lumpur,Malaysia,6423,77076
8,Bachelor,Data Analyst,Singapore,Singapore,13276,159316
0,PhD,Cloud Engineer,Tokyo,Japan,12187,146250
5,Bachelor,Cybersecurity,Stockholm,Sweden,12920,155045
10,PhD,Software Engineer,Singapore,Singapore,21903,262836
5,PhD,Data Analyst,Rotterdam,Netherlands,13173,158076
9,Master,ML Engineer,Dublin,Ireland,18714,224571
12,Master,Software Engineer,Luxembourg,Luxembourg,24895,298751
6,Bachelor,Cybersecurity,Dublin,Ireland,15277,183330
1,Bachelor,Software Engineer,Tokyo,Japan,9487,113851
11,PhD,Software Engineer,Geneva,Switzerland,23238,278863
12,PhD,Data Scientist,Rotterdam,Netherlands,17298,207576
9,Master,Data Scientist,Lyon,France,15239,182869
7,PhD,Data Scientist,Rotterdam,Netherlands,17015,204184
0,Bachelor,Cybersecurity,Hyderabad,India,2200,26400
8,PhD,Cloud Engineer,London,UK,16494,197930
12,Bachelor,Cybersecurity,Luxembourg,Luxembourg,24145,289740
5,Master,Data Analyst,Paris,France,9383,112601
10,PhD,Cybersecurity,Stockholm,Sweden,16583,198996
9,PhD,Software Engineer,Abu Dhabi,UAE,19170,230047
0,Master,Data Scientist,Stockholm,Sweden,10560,126720
11,Bachelor,Cybersecurity,Singapore,Singapore,22099,265189
2,Bachelor,Software Engineer,Osaka,Japan,8923,107086
3,Master,Software Engineer,Lyon,France,8932,107188
4,Master,ML Engineer,Munich,Germany,14918,179018
7,PhD,Cloud Engineer,Singapore,Singapore,18900,226808
12,Master,Data Scientist,Barcelona,Spain,17279,207358
9,Master,ML Engineer,Tokyo,Japan,16733,200805
10,Bachelor,ML Engineer,Boston,USA,19746,236960
11,Bachelor,ML Engineer,Paris,France,14201,170418
12,Master,Cybersecurity,Toronto,Canada,18051,216612
10,Bachelor,Cloud Engineer,Barcelona,Spain,11683,140200
8,PhD,Cloud Engineer,Luxembourg,Luxembourg,27101,325214
5,Bachelor,Data Scientist,Toronto,Canada,12709,152515
9,Bachelor,Cybersecurity,Vancouver,Canada,18315,219789
1,PhD,Cybersecurity,Geneva,Switzerland,20843,250116
5,PhD,Cybersecurity,Kuala Lumpur,Malaysia,8397,100764
0,Master,Data Scientist,Luxembourg,Luxembourg,16940,203280
8,PhD,Software Engineer,Lyon,France,15822,189873
4,Master,Cloud Engineer,Berlin,Germany,13508,162104
1,Bachelor,ML Engineer,Lyon,France,9080,108968
6,Master,Data Scientist,Paris,France,11900,142810
4,PhD,Cybersecurity,Hamburg,Germany,13831,165974
6,Bachelor,Cloud Engineer,Frankfurt,Germany,11605,139266
9,PhD,Data Scientist,Singapore,Singapore,20382,244591
9,Master,Data Scientist,Tokyo,Japan,15721,188654
2,Bachelor,Cybersecurity,Vancouver,Canada,12996,155954
9,Bachelor,Data Scientist,Hyderabad,India,4753,57045
12,Master,Data Analyst,Stockholm,Sweden,15741,188892
8,Master,Data Scientist,Birmingham,UK,10531,126376
0,Bachelor,Software Engineer,Frankfurt,Germany,8800,105600
8,Bachelor,Software Engineer,Birmingham,UK,9100,109204
11,Master,Data Scientist,Lyon,France,16038,192462
5,Bachelor,Software Engineer,Seattle,USA,17328,207945
9,Master,Cloud Engineer,Stockholm,Sweden,17333,208002
3,Bachelor,Software Engineer,Vancouver,Canada,12926,155118
10,Master,Cloud Engineer,Osaka,Japan,16234,194810
0,Bachelor,Software Engineer,Luxembourg,Luxembourg,14116,169400
0,PhD,Data Analyst,Tokyo,Japan,8775,105300
11,Bachelor,Cloud Engineer,Kuala Lumpur,Malaysia,8505,102069
9,Master,ML Engineer,Kuala Lumpur,Malaysia,10181,122172
0,Master,ML Engineer,Berlin,Germany,10486,125840
0,Master,Data Scientist,Dubai,UAE,12155,145860
10,Bachelor,Software Engineer,Chennai,India,4758,57100
9,PhD,ML Engineer,Frankfurt,Germany,21360,256323
5,Bachelor,Data Analyst,Frankfurt,Germany,8910,106925
2,Bachelor,Data Scientist,Luxembourg,Luxembourg,16546,198554
11,PhD,Data Analyst,Perth,Australia,16875,202501
7,Master,Software Engineer,Kuala Lumpur,Malaysia,8918,107020
11,Bachelor,Cloud Engineer,Brisbane,Australia,15803,189640
1,Master,Cloud Engineer,Dubai,UAE,13456,161475
6,PhD,ML Engineer,Geneva,Switzerland,27359,328312
5,Bachelor,Data Analyst,Geneva,Switzerland,16165,193990
11,Bachelor,Software Engineer,Amsterdam,Netherlands,18500,222002
11,PhD,Data Analyst,Singapore,Singapore,15684,188216
12,Bachelor,Cloud Engineer,Amsterdam,Netherlands,20109,241313
3,Master,ML Engineer,Hamburg,Germany,12911,154942
9,PhD,Data Scientist,San Francisco,USA,25207,302486
12,PhD,Cybersecurity,Luxembourg,Luxembourg,29024,348292
7,Bachelor,Cloud Engineer,Chicago,USA,15997,191971
1,Master,Data Analyst,Singapore,Singapore,11763,141165
12,Master,Cloud Engineer,Paris,France,19252,231028
1,PhD,ML Engineer,Kuala Lumpur,Malaysia,5114,61374
2,Master,Software Engineer,Stockholm,Sweden,10690,128290
8,PhD,Software Engineer,Kuala Lumpur,Malaysia,7632,91588
3,Bachelor,Data Analyst,Kuala Lumpur,Malaysia,4107,49290
8,PhD,Cybersecurity,Berlin,Germany,15424,185088
5,Master,Cybersecurity,Luxembourg,Luxembourg,21041,252494
8,Master,Data Analyst,Dublin,Ireland,15409,184910
2,Master,ML Engineer,Lyon,France,10268,123219
1,Master,Cloud Engineer,Madrid,Spain,6677,80126
11,Master,Software Engineer,Frankfurt,Germany,13321,159853
2,Bachelor,Cybersecurity,Sydney,Australia,14049,168594
6,Master,Cloud Engineer,New York,USA,21749,260990
10,Bachelor,Data Scientist,Hamburg,Germany,11702,140430
11,PhD,Cloud Engineer,Singapore,Singapore,24448,293378
8,Master,Data Scientist,Madrid,Spain,8295,99545
11,Master,Software Engineer,Madrid,Spain,10315,123783
8,Bachelor,Data Analyst,Madrid,Spain,9021,108252
0,PhD,Data Scientist,Rotterdam,Netherlands,12240,146880
8,PhD,ML Engineer,Tokyo,Japan,18835,226020
5,Bachelor,Data Analyst,Zurich,Switzerland,16292,195510
12,PhD,Cloud Engineer,Paris,France,19164,229970
1,Bachelor,ML Engineer,Luxembourg,Luxembourg,17203,206437
6,PhD,Data Analyst,Stockholm,Sweden,13533,162403
9,Master,Data Scientist,Montreal,Canada,17551,210622
7,Bachelor,ML Engineer,Barcelona,Spain,8455,101464
9,Master,Data Analyst,Chennai,India,9504,114048
11,PhD,Software Engineer,Lyon,France,13106,157278
4,Bachelor,ML Engineer,Berlin,Germany,12284,147408
0,PhD,Data Analyst,Pune,India,1980,23760
8,Master,Cloud Engineer,Abu Dhabi,UAE,14420,173047
6,Master,Data Scientist,Dubai,UAE,15138,181658
3,Master,Data Scientist,Berlin,Germany,10790,129485
4,PhD,Cybersecurity,Dublin,Ireland,15498,185980
0,Bachelor,Cybersecurity,Paris,France,9100,109200
6,Bachelor,Data Scientist,Luxembourg,Luxembourg,17236,206838
11,Bachelor,Software Engineer,Singapore,Singapore,15521,186252
9,PhD,Data Scientist,London,UK,19641,235702
5,Master,Data Scientist,Singapore,Singapore,17809,213708
11,Bachelor,ML Engineer,Abu Dhabi,UAE,20210,242523
7,Master,Cybersecurity,Zurich,Switzerland,22933,275206
12,PhD,Cloud Engineer,Seattle,USA,25142,301708
2,PhD,Data Analyst,Paris,France,9605,115264
6,Bachelor,Cloud Engineer,Luxembourg,Luxembourg,20018,240224
0,Bachelor,Cybersecurity,Stockholm,Sweden,9600,115200
12,Master,ML Engineer,Lyon,France,15746,188953
12,Master,Data Scientist,Kuala Lumpur,Malaysia,9864,118377
10,PhD,Data Scientist,Tokyo,Japan,18576,222912
12,Master,ML Engineer,Vancouver,Canada,22542,270507
5,Master,Data Analyst,Kuala Lumpur,Malaysia,7028,84337
3,Bachelor,Data Analyst,Madrid,Spain,6255,75060
6,Bachelor,Data Analyst,Rotterdam,Netherlands,9349,112188
8,PhD,ML Engineer,Delhi,India,8221,98659
9,PhD,Data Scientist,Dubai,UAE,17377,208530
8,Bachelor,Data Analyst,Luxembourg,Luxembourg,15494,185936
9,Bachelor,Software Engineer,Stockholm,Sweden,11509,138108
2,Master,Software Engineer,Singapore,Singapore,14716,176602
1,PhD,Cybersecurity,Hamburg,Germany,10863,130358
2,Master,Cybersecurity,Amsterdam,Netherlands,12997,155966
3,Bachelor,ML Engineer,Tokyo,Japan,12953,155439
11,Master,Data Analyst,Dubai,UAE,14423,173077
10,Master,Cloud Engineer,Luxembourg,Luxembourg,26734,320815
12,Bachelor,Data Analyst,Rotterdam,Netherlands,13848,166176
4,PhD,Data Analyst,Zurich,Switzerland,17742,212908
3,Bachelor,ML Engineer,Berlin,Germany,10777,129334
